"","year","month","day","sapflux_density_pine_Sylvib_HD","rollmean","date"
"1",2015,1,1,NA,NA,2015-01-01
"2",2015,1,2,NA,NA,2015-01-02
"3",2015,1,3,NA,NA,2015-01-03
"4",2015,1,4,NA,NA,2015-01-04
"5",2015,1,5,NA,NA,2015-01-05
"6",2015,1,6,NA,NA,2015-01-06
"7",2015,1,7,NA,NA,2015-01-07
"8",2015,1,8,NA,NA,2015-01-08
"9",2015,1,9,NA,NA,2015-01-09
"10",2015,1,10,NA,NA,2015-01-10
"11",2015,1,11,NA,NA,2015-01-11
"12",2015,1,12,NA,NA,2015-01-12
"13",2015,1,13,NA,NA,2015-01-13
"14",2015,1,14,NA,NA,2015-01-14
"15",2015,1,15,NA,NA,2015-01-15
"16",2015,1,16,NA,NA,2015-01-16
"17",2015,1,17,NA,NA,2015-01-17
"18",2015,1,18,NA,NA,2015-01-18
"19",2015,1,19,NA,NA,2015-01-19
"20",2015,1,20,NA,NA,2015-01-20
"21",2015,1,21,NA,NA,2015-01-21
"22",2015,1,22,NA,NA,2015-01-22
"23",2015,1,23,NA,NA,2015-01-23
"24",2015,1,24,NA,NA,2015-01-24
"25",2015,1,25,NA,NA,2015-01-25
"26",2015,1,26,NA,NA,2015-01-26
"27",2015,1,27,NA,NA,2015-01-27
"28",2015,1,28,NA,NA,2015-01-28
"29",2015,1,29,NA,NA,2015-01-29
"30",2015,1,30,NA,NA,2015-01-30
"31",2015,1,31,NA,NA,2015-01-31
"32",2015,2,1,NA,NA,2015-02-01
"33",2015,2,2,NA,NA,2015-02-02
"34",2015,2,3,NA,NA,2015-02-03
"35",2015,2,4,NA,NA,2015-02-04
"36",2015,2,5,NA,NA,2015-02-05
"37",2015,2,6,NA,NA,2015-02-06
"38",2015,2,7,NA,NA,2015-02-07
"39",2015,2,8,NA,NA,2015-02-08
"40",2015,2,9,NA,NA,2015-02-09
"41",2015,2,10,NA,NA,2015-02-10
"42",2015,2,11,NA,NA,2015-02-11
"43",2015,2,12,NA,NA,2015-02-12
"44",2015,2,13,NA,NA,2015-02-13
"45",2015,2,14,NA,NA,2015-02-14
"46",2015,2,15,NA,NA,2015-02-15
"47",2015,2,16,NA,NA,2015-02-16
"48",2015,2,17,NA,NA,2015-02-17
"49",2015,2,18,NA,NA,2015-02-18
"50",2015,2,19,NA,NA,2015-02-19
"51",2015,2,20,NA,NA,2015-02-20
"52",2015,2,21,NA,NA,2015-02-21
