"month","day","mean","sdmean","rollmean","year","date","minus","plus"
1,1,2.976396827918e-06,2.32327400813524e-06,NA,2020,2020-01-01,NA,NA
1,2,4.22762888720203e-06,6.43647929186568e-06,3.62731398320295e-06,2020,2020-01-02,2.18530962155572e-06,5.06931834485018e-06
1,3,3.67791623448881e-06,4.3226327119001e-06,4.95664151411131e-06,2020,2020-01-03,3.83157750793134e-06,6.08170552029127e-06
1,4,6.96437942064307e-06,6.14211046096103e-06,5.73708179887653e-06,2020,2020-01-04,3.06554474036701e-06,8.40861885738604e-06
1,5,6.5689497414977e-06,5.57863755398107e-06,6.19366684994548e-06,2020,2020-01-05,2.23005658039393e-06,1.0157277119497e-05
1,6,5.04767138769565e-06,4.28766975128797e-06,4.92676347976546e-06,2020,2020-01-06,9.55698430196305e-07,8.89782852933461e-06
1,7,3.16366931010301e-06,4.73189745772135e-06,4.49888069494312e-06,2020,2020-01-07,1.9543977309315e-06,7.04336365895473e-06
1,8,5.28530138703068e-06,7.02350087954007e-06,4.3311868167335e-06,2020,2020-01-08,2.60828569156899e-06,6.05408794189802e-06
1,9,4.54458975306681e-06,4.28114053545174e-06,5.12544672218817e-06,2020,2020-01-09,4.10200748392385e-06,6.14888596045249e-06
1,10,5.54644902646701e-06,4.48017270485515e-06,4.36046114027172e-06,2020,2020-01-10,3.65890618898944e-06,5.06201609155401e-06
1,11,2.99034464128134e-06,2.94528092876907e-06,3.55535008407047e-06,2020,2020-01-11,2.63066218073295e-06,4.48003798740799e-06
1,12,2.12925658446307e-06,3.02028036722998e-06,2.57327873694164e-06,2020,2020-01-12,8.92932951566646e-07,4.25362452231663e-06
1,13,2.60023498508049e-06,3.1064417007212e-06,2.18500314901362e-06,2020,2020-01-13,9.50701819241418e-07,3.41930447878582e-06
1,14,1.8255178774973e-06,2.37677024733603e-06,2.07418855244894e-06,2020,2020-01-14,6.32184190801702e-07,3.51619291409617e-06
1,15,1.79681279476901e-06,1.86418669512439e-06,1.45938368253867e-06,2020,2020-01-15,3.34319676358713e-07,2.58444768871864e-06
1,16,7.55820375349712e-07,3.20465641582814e-07,1.46866039044431e-06,2020,2020-01-16,-1.2028766680652e-06,4.14019744895383e-06
1,17,1.85334800121422e-06,1.13580271761452e-06,1.45622219857692e-06,2020,2020-01-17,-2.50738807097463e-06,5.41983246812846e-06
1,18,1.75949821916683e-06,1.5045301253659e-06,1.70723017152402e-06,2020,2020-01-18,-2.26383487804513e-06,5.67829522109317e-06
1,19,1.50884429419101e-06,1.51872293439731e-06,1.31028381238276e-06,2020,2020-01-19,-1.23419915162885e-06,3.85476677639438e-06
1,20,6.62508923790463e-07,7.17985660739177e-07,1.59700678952893e-06,2020,2020-01-20,-1.25894335635589e-07,3.31990791469345e-06
1,21,2.61966715060532e-06,4.45491529024493e-06,2.57110628077727e-06,2020,2020-01-21,1.54766704251294e-06,3.59454551904159e-06
1,22,4.43114276793602e-06,6.43352712238624e-06,3.39943411192553e-06,2020,2020-01-22,2.69787916064325e-06,4.10098906320782e-06
1,23,3.14749241723526e-06,2.44728134628206e-06,3.015816364237e-06,2020,2020-01-23,2.09112846089948e-06,3.94050426757452e-06
1,24,1.46881390753971e-06,1.10525652886611e-06,3.31694606462557e-06,2020,2020-01-24,1.63660027925058e-06,4.99729185000056e-06
1,25,5.33453186910174e-06,4.0207332467098e-06,3.92768682066558e-06,2020,2020-01-25,2.69338549089337e-06,5.16198815043778e-06
1,26,4.97971468535528e-06,6.31236384271471e-06,4.8606495779434e-06,2020,2020-01-26,3.41864521629617e-06,6.30265393959064e-06
1,27,4.2677021793732e-06,4.13876843093375e-06,3.84224240115991e-06,2020,2020-01-27,2.71717839497995e-06,4.96730640733987e-06
1,28,2.27931033875126e-06,1.72539883465642e-06,2.91183883816311e-06,2020,2020-01-28,2.40301779653593e-07,5.58337589667263e-06
1,29,2.18850399636487e-06,9.22294889170181e-07,1.85908911779471e-06,2020,2020-01-29,-2.10452115175683e-06,5.82269938734626e-06
1,30,1.10945301826801e-06,6.80381102278453e-07,2.22577427655596e-06,2020,2020-01-30,-1.74529077301319e-06,6.19683932612511e-06
1,31,3.379365815035e-06,4.7559762778021e-06,3.099657590241e-06,2020,2020-01-31,5.55174626229386e-07,5.64414055425262e-06
2,1,4.81015393742e-06,4.61304658016449e-06,5.06517201108859e-06,2020,2020-02-01,3.34227088592407e-06,6.7880731362531e-06
2,2,7.00599628081076e-06,3.34227619798635e-06,5.55548894350562e-06,2020,2020-02-02,4.5320497052413e-06,6.57892818176994e-06
2,3,4.8503166122861e-06,1.47616963231814e-06,5.20448939987154e-06,2020,2020-02-03,4.50293444858926e-06,5.90604435115383e-06
2,4,3.75715530651776e-06,4.00836102746332e-06,3.90502926299696e-06,2020,2020-02-04,2.98034135965944e-06,4.82971716633448e-06
2,5,3.10761587018703e-06,3.61682430996946e-06,3.31108858116895e-06,2020,2020-02-05,1.63074279579396e-06,4.99143436654394e-06
2,6,3.06849456680206e-06,3.39347708734399e-06,3.25014288902367e-06,2020,2020-02-06,2.01584155925147e-06,4.48444421879587e-06
2,7,3.57431823008192e-06,2.06240426268663e-06,2.77361187901273e-06,2020,2020-02-07,1.3316075173655e-06,4.21561624065996e-06
2,8,1.6780228401542e-06,1.14789159075063e-06,2.70252174622037e-06,2020,2020-02-08,1.5774577400404e-06,3.82758575240033e-06
2,9,2.85522416842497e-06,3.14283172940983e-06,2.27464724904333e-06,2020,2020-02-09,-3.96889809466189e-07,4.94618430755284e-06
2,10,2.29069473855081e-06,2.71512292151558e-06,2.2731838100495e-06,2020,2020-02-10,-1.69042645950204e-06,6.23679407960105e-06
2,11,1.67363252317273e-06,1.54006982827886e-06,2.09937978691936e-06,2020,2020-02-11,-1.87168526264979e-06,6.07044483648851e-06
