date;year;month;day;hour;minute;second;T42
1.1.2018 0:00;2018;1;1;0;0;0;-1,7502
1.1.2018 1:00;2018;1;1;1;0;0;-1,6823
1.1.2018 2:00;2018;1;1;2;0;0;-1,6475
1.1.2018 3:00;2018;1;1;3;0;0;-1,7847
1.1.2018 4:00;2018;1;1;4;0;0;-1,9213
1.1.2018 5:00;2018;1;1;5;0;0;-1,964
1.1.2018 6:00;2018;1;1;6;0;0;-2,0825
1.1.2018 7:00;2018;1;1;7;0;0;-1,812
1.1.2018 8:00;2018;1;1;8;0;0;-1,591
1.1.2018 9:00;2018;1;1;9;0;0;-1,4562
1.1.2018 10:00;2018;1;1;10;0;0;-1,3695
1.1.2018 11:00;2018;1;1;11;0;0;-1,1943
1.1.2018 12:00;2018;1;1;12;0;0;-1,1525
1.1.2018 13:00;2018;1;1;13;0;0;-0,8197
1.1.2018 14:00;2018;1;1;14;0;0;-0,6663
1.1.2018 15:00;2018;1;1;15;0;0;-0,5583
1.1.2018 16:00;2018;1;1;16;0;0;-0,4123
1.1.2018 17:00;2018;1;1;17;0;0;-0,3997
1.1.2018 18:00;2018;1;1;18;0;0;-0,2817
1.1.2018 19:00;2018;1;1;19;0;0;-0,1462
1.1.2018 20:00;2018;1;1;20;0;0;-0,1083
1.1.2018 21:00;2018;1;1;21;0;0;0,0707
1.1.2018 22:00;2018;1;1;22;0;0;0,2093
1.1.2018 23:00;2018;1;1;23;0;0;0,1817
2.1.2018 0:00;2018;1;2;0;0;0;0,2088
2.1.2018 1:00;2018;1;2;1;0;0;0,1968
2.1.2018 2:00;2018;1;2;2;0;0;0,1363
2.1.2018 3:00;2018;1;2;3;0;0;0,2043
2.1.2018 4:00;2018;1;2;4;0;0;0,1325
2.1.2018 5:00;2018;1;2;5;0;0;0,1952
2.1.2018 6:00;2018;1;2;6;0;0;0,2415
2.1.2018 7:00;2018;1;2;7;0;0;0,2423
2.1.2018 8:00;2018;1;2;8;0;0;0,3082
2.1.2018 9:00;2018;1;2;9;0;0;0,2458
2.1.2018 10:00;2018;1;2;10;0;0;0,2333
2.1.2018 11:00;2018;1;2;11;0;0;
2.1.2018 12:00;2018;1;2;12;0;0;
2.1.2018 13:00;2018;1;2;13;0;0;
2.1.2018 14:00;2018;1;2;14;0;0;
2.1.2018 15:00;2018;1;2;15;0;0;-0,2417
2.1.2018 16:00;2018;1;2;16;0;0;-0,3903
2.1.2018 17:00;2018;1;2;17;0;0;-0,3083
2.1.2018 18:00;2018;1;2;18;0;0;-0,1197
2.1.2018 19:00;2018;1;2;19;0;0;0,1378
2.1.2018 20:00;2018;1;2;20;0;0;0,2507
2.1.2018 21:00;2018;1;2;21;0;0;0,3425
2.1.2018 22:00;2018;1;2;22;0;0;0,361
2.1.2018 23:00;2018;1;2;23;0;0;0,4422
3.1.2018 0:00;2018;1;3;0;0;0;0,5152
3.1.2018 1:00;2018;1;3;1;0;0;0,4777
3.1.2018 2:00;2018;1;3;2;0;0;0,5877
3.1.2018 3:00;2018;1;3;3;0;0;0,7452
3.1.2018 4:00;2018;1;3;4;0;0;0,8492
3.1.2018 5:00;2018;1;3;5;0;0;0,814
3.1.2018 6:00;2018;1;3;6;0;0;0,4032
3.1.2018 7:00;2018;1;3;7;0;0;0,4073
3.1.2018 8:00;2018;1;3;8;0;0;0,6157
3.1.2018 9:00;2018;1;3;9;0;0;0,6753
3.1.2018 10:00;2018;1;3;10;0;0;0,6947
3.1.2018 11:00;2018;1;3;11;0;0;0,7118
3.1.2018 12:00;2018;1;3;12;0;0;0,6722
3.1.2018 13:00;2018;1;3;13;0;0;0,6907
3.1.2018 14:00;2018;1;3;14;0;0;0,579
3.1.2018 15:00;2018;1;3;15;0;0;0,5815
3.1.2018 16:00;2018;1;3;16;0;0;0,5482
3.1.2018 17:00;2018;1;3;17;0;0;0,4615
3.1.2018 18:00;2018;1;3;18;0;0;0,3855
3.1.2018 19:00;2018;1;3;19;0;0;0,3202
3.1.2018 20:00;2018;1;3;20;0;0;0,4337
3.1.2018 21:00;2018;1;3;21;0;0;0,479
3.1.2018 22:00;2018;1;3;22;0;0;0,4432
3.1.2018 23:00;2018;1;3;23;0;0;0,4452
4.1.2018 0:00;2018;1;4;0;0;0;0,4167
4.1.2018 1:00;2018;1;4;1;0;0;0,3073
4.1.2018 2:00;2018;1;4;2;0;0;0,259
4.1.2018 3:00;2018;1;4;3;0;0;0,2462
4.1.2018 4:00;2018;1;4;4;0;0;0,1962
4.1.2018 5:00;2018;1;4;5;0;0;0,1303
4.1.2018 6:00;2018;1;4;6;0;0;0,1078
4.1.2018 7:00;2018;1;4;7;0;0;0,0212
4.1.2018 8:00;2018;1;4;8;0;0;-0,0608
4.1.2018 9:00;2018;1;4;9;0;0;-0,1048
4.1.2018 10:00;2018;1;4;10;0;0;-0,2883
4.1.2018 11:00;2018;1;4;11;0;0;-0,2315
4.1.2018 12:00;2018;1;4;12;0;0;-0,2047
4.1.2018 13:00;2018;1;4;13;0;0;-0,1682
4.1.2018 14:00;2018;1;4;14;0;0;-0,0983
4.1.2018 15:00;2018;1;4;15;0;0;-0,203
4.1.2018 16:00;2018;1;4;16;0;0;-0,2182
4.1.2018 17:00;2018;1;4;17;0;0;-0,1365
4.1.2018 18:00;2018;1;4;18;0;0;-0,0998
4.1.2018 19:00;2018;1;4;19;0;0;-0,0307
4.1.2018 20:00;2018;1;4;20;0;0;-0,0288
4.1.2018 21:00;2018;1;4;21;0;0;0,0602
4.1.2018 22:00;2018;1;4;22;0;0;0,1383
4.1.2018 23:00;2018;1;4;23;0;0;0,2015
